t,id,state,state_time,face_mode,need_move,plant,bond,solid,slot_dist,slot_locked,mag,heading_deg,want_deg,travel_deg,unit_err_deg,travel_err_deg,reason
0.0,1,forming_up,0.033,travel,1,0,1,0,0.392,0,0.915,347.9,87.5,87.5,12.1,99.6,travel_path:forming_up
0.0,9,forming_up,0.033,travel,1,0,1,0,0.456,0,1.276,4.6,42.2,42.2,4.6,37.6,travel_path:forming_up
0.0,11,turning,0.033,unit,0,1,1,1,0.343,1,0.546,194.8,0.0,337.2,165.2,142.5,plant_dress_turn
0.0,18,forming_up,0.033,travel,1,0,1,0,0.143,0,0.676,198.5,226.7,226.7,161.5,28.2,travel_path:forming_up
0.0,21,forming_up,0.033,travel,1,0,1,0,0.344,0,1.956,331.9,316.1,316.1,28.1,15.8,travel_path:forming_up
0.0,23,turning,0.033,unit,0,1,1,1,0.172,1,0.396,197.7,0.0,0.0,162.3,162.3,plant_dress_turn
0.0,25,turning,0.033,unit,0,1,1,1,0.226,1,0.467,248.4,0.0,299.7,111.6,51.4,plant_dress_turn
0.0,29,forming_up,0.033,travel,1,0,1,0,0.375,0,0.879,11.2,340.4,340.4,11.2,30.8,travel_path:forming_up
0.0,35,forming_up,0.033,travel,1,0,1,0,0.23,0,1.023,298.5,274.4,274.4,61.5,24.1,travel_path:forming_up
0.0,36,turning,0.033,unit,0,1,1,1,0.207,1,0.514,33.5,0.0,218.3,33.5,175.2,plant_dress_turn
0.5,2,adjusting,0.167,travel,1,0,1,0,0.33,0,1.129,215.7,215.7,215.7,144.3,0.0,travel_path:adjusting
0.5,3,turning,0.433,travel,1,0,0,0,1.021,0,1.663,85.5,112.4,112.4,85.5,26.9,travel_path:turning
0.5,5,turning,0.433,travel,1,0,0,0,0.671,0,1.777,270.0,326.0,326.0,90.0,56.0,travel_path:turning
0.5,6,turning,0.433,travel,1,0,0,0,1.049,0,1.657,298.9,43.9,43.9,61.1,105.1,travel_path:turning
0.5,8,turning,0.433,travel,1,0,0,0,0.509,0,0.471,80.8,7.1,7.1,80.8,73.6,travel_path:turning
0.5,10,turning,0.433,travel,1,0,0,0,0.698,0,1.721,8.5,22.6,22.6,8.5,14.1,travel_path:turning
0.5,11,turning,0.533,unit,0,1,1,1,0.343,1,0.622,300.2,0.0,321.5,59.8,21.3,plant_dress_turn
0.5,12,turning,0.433,travel,1,0,0,0,0.675,0,1.823,160.9,219.1,219.1,160.9,58.1,travel_path:turning
0.5,14,turning,0.067,unit,0,1,1,1,0.44,1,0.018,44.0,0.0,58.1,44.0,14.1,plant_dress_turn
0.5,15,turning,0.433,travel,1,0,0,0,0.83,0,1.875,222.3,184.5,184.5,137.7,37.7,travel_path:turning
0.5,16,turning,0.1,unit,0,1,1,1,0.38,1,0.442,261.0,0.0,237.5,99.0,23.5,plant_dress_turn
0.5,17,adjusting,0.333,travel,1,0,1,0,0.463,0,0.995,179.4,179.4,179.4,179.4,0.0,travel_path:adjusting
0.5,18,turning,0.5,unit,0,1,1,1,0.052,1,0.789,304.0,0.0,207.5,56.0,96.5,plant_dress_turn
0.5,19,turning,0.433,travel,1,0,0,0,0.749,0,1.121,78.9,114.2,114.2,78.9,35.3,travel_path:turning
0.5,20,turning,0.267,travel,1,0,1,0,0.422,1,1.875,37.6,94.8,94.8,37.6,57.2,travel_path:turning
0.5,21,adjusting,0.133,travel,1,0,1,0,0.172,0,0.918,345.4,340.9,340.9,14.6,4.5,travel_path:adjusting
0.5,23,turning,0.533,unit,0,1,1,1,0.172,1,0.443,303.1,0.0,0.0,56.9,56.9,plant_dress_turn
0.5,25,turning,0.533,unit,0,1,1,1,0.226,1,0.98,353.8,0.0,342.0,6.2,11.7,plant_dress_turn
0.5,28,turning,0.433,travel,1,0,0,0,0.826,0,1.851,137.7,185.5,185.5,137.7,47.7,travel_path:turning
0.5,30,turning,0.433,travel,1,0,0,0,1.164,0,2.383,352.4,319.9,319.9,7.6,32.5,travel_path:turning
0.5,31,turning,0.433,travel,1,0,0,0,0.87,0,1.128,196.3,232.6,232.6,163.7,36.3,travel_path:turning
0.5,34,turning,0.2,travel,1,0,1,0,0.4,1,1.322,14.1,60.0,60.0,14.1,46.0,travel_path:turning
0.5,38,adjusting,0.333,travel,1,0,1,0,0.331,0,1.401,132.7,132.7,132.7,132.7,0.0,travel_path:adjusting
1.0,0,turning,0.133,unit,0,1,1,1,0.442,1,0.54,65.1,0.0,94.5,65.1,29.4,plant_dress_turn
1.0,2,turning,0.233,unit,0,1,1,1,0.235,1,0.077,291.0,0.0,245.7,69.0,45.3,plant_dress_turn
1.0,4,turning,0.133,travel,1,0,1,0,0.424,1,1.694,332.1,287.0,287.0,27.9,45.2,travel_path:turning
1.0,12,turning,0.033,travel,1,0,0,0,0.627,0,1.628,204.8,230.3,230.3,155.2,25.5,travel_path:turning
1.0,17,turning,0.267,unit,0,1,1,1,0.273,1,0.3,264.1,0.0,202.9,95.9,61.2,plant_dress_turn
1.0,18,turning,0.033,travel,1,0,1,0,0.046,1,1.547,353.0,234.9,234.9,7.0,118.1,travel_path:turning
1.0,24,turning,0.2,unit,0,1,1,1,0.406,1,0.945,50.4,0.0,119.6,50.4,69.2,plant_dress_turn
1.0,26,turning,0.367,travel,1,0,0,0,0.556,0,0.903,177.3,227.8,227.8,177.3,50.5,travel_path:turning
1.0,27,turning,0.367,unit,0,1,1,1,0.357,1,0.995,267.3,0.0,150.8,92.7,116.5,plant_dress_turn
1.0,32,turning,0.233,unit,0,1,1,1,0.418,1,0.994,328.0,0.0,249.1,32.0,78.9,plant_dress_turn
1.0,33,turning,0.167,travel,1,0,0,0,0.59,0,0.582,359.9,326.7,326.7,0.1,33.1,travel_path:turning
1.0,38,turning,0.3,unit,0,1,1,1,0.239,1,0.585,65.5,0.0,126.3,65.5,60.8,plant_dress_turn
1.0,39,adjusting,0.133,travel,1,0,1,0,0.423,0,1.174,203.9,128.2,128.2,156.1,75.7,travel_path:adjusting
1.5,5,adjusting,0.233,travel,1,0,1,0,0.358,0,0.86,331.6,342.8,342.8,28.4,11.2,travel_path:adjusting
1.5,7,turning,0.367,unit,0,1,1,1,0.417,1,0.78,298.6,0.0,189.2,61.4,109.3,plant_dress_turn
1.5,12,forming_up,0.433,travel,1,0,1,0,0.43,0,0.975,276.0,276.0,276.0,84.0,0.0,travel_path:forming_up
1.5,13,turning,0.3,unit,0,1,1,1,0.393,1,1.144,247.8,0.0,158.9,112.2,88.9,plant_dress_turn
1.5,17,turning,0.767,travel,1,0,1,0,0.245,1,1.29,355.5,96.4,96.4,4.5,101.0,travel_path:turning
1.5,19,adjusting,0.533,travel,1,0,1,0,0.405,0,0.843,173.8,201.0,201.0,173.8,27.2,travel_path:adjusting
1.5,26,turning,0.133,unit,0,1,1,1,0.365,1,0.552,212.4,0.0,198.8,147.6,13.6,plant_dress_turn
1.5,28,forming_up,0.8,travel,1,0,1,0,0.457,0,1.048,170.6,170.6,170.6,170.6,0.0,travel_path:forming_up
1.5,31,adjusting,0.5,travel,1,0,1,0,0.448,0,1.09,224.7,130.9,130.9,135.3,93.8,travel_path:adjusting
1.5,32,turning,0.733,unit,0,1,1,1,0.398,1,0.479,292.9,0.0,183.5,67.1,109.4,plant_dress_turn
1.5,39,turning,0.367,unit,0,1,1,1,0.349,1,0.031,242.7,0.0,273.1,117.3,30.4,plant_dress_turn
2.0,2,turning,0.2,unit,0,1,1,1,0.24,1,0.478,331.9,0.0,246.2,28.1,85.7,plant_dress_turn
2.0,3,turning,0.033,unit,0,1,1,1,0.416,1,0.66,113.3,0.0,96.1,113.3,17.2,plant_dress_turn
2.0,12,turning,0.433,unit,0,1,1,1,0.3,1,0.973,356.2,0.0,276.4,3.8,79.8,plant_dress_turn
2.0,13,turning,0.8,unit,0,1,1,1,0.371,1,0.624,353.2,0.0,158.5,6.8,165.3,plant_dress_turn
2.0,15,turning,0.2,travel,1,0,1,0,0.269,1,1.3,145.2,273.6,273.6,145.2,128.4,travel_path:turning
2.0,16,turning,0.2,unit,0,1,1,0,0.312,1,0.694,331.9,0.0,266.8,28.1,65.1,plant_dress_turn
2.0,19,turning,0.433,unit,0,1,1,1,0.301,1,0.258,277.4,0.0,186.3,82.6,91.0,plant_dress_turn
2.0,23,turning,0.2,unit,0,1,1,1,0.172,1,0.488,28.1,0.0,117.5,28.1,89.4,plant_dress_turn
