t,id,state,state_time,face_mode,need_move,plant,bond,solid,slot_dist,slot_locked,mag,heading_deg,want_deg,travel_deg,unit_err_deg,travel_err_deg,reason
0.0,1,forming_up,0.033,travel,1,0,0,0,0.392,0,1.114,347.9,93.2,93.2,12.1,105.2,travel_path:forming_up
0.0,9,forming_up,0.033,travel,1,0,0,0,0.456,0,1.479,4.6,39.3,39.3,4.6,34.7,travel_path:forming_up
0.0,11,forming_up,0.033,travel,1,0,0,0,0.343,0,0.48,193.8,329.8,329.8,166.2,136.0,travel_path:forming_up
0.0,18,forming_up,0.033,travel,1,0,0,0,0.143,0,0.694,198.5,246.0,246.0,161.5,47.4,travel_path:forming_up
0.0,21,forming_up,0.033,travel,1,0,0,0,0.344,0,2.675,331.9,307.0,307.0,28.1,25.0,travel_path:forming_up
0.0,22,forming_up,0.033,travel,1,0,0,0,0.446,0,0.626,1.4,197.1,197.1,1.4,164.3,travel_path:forming_up
0.0,23,forming_up,0.033,travel,1,0,0,0,0.172,0,0.561,184.5,142.6,142.6,175.5,41.9,travel_path:forming_up
0.0,25,forming_up,0.033,travel,1,0,0,0,0.226,0,0.614,247.4,280.1,280.1,112.6,32.7,travel_path:forming_up
0.0,29,forming_up,0.033,travel,1,0,0,0,0.375,0,0.886,11.2,328.7,328.7,11.2,42.4,travel_path:forming_up
0.0,35,forming_up,0.033,travel,1,0,0,0,0.23,0,1.582,298.5,270.5,270.5,61.5,28.0,travel_path:forming_up
0.0,36,forming_up,0.033,travel,1,0,0,0,0.207,0,0.558,34.4,248.2,248.2,34.4,146.2,travel_path:forming_up
0.5,1,turning,0.433,travel,1,0,0,0,0.416,0,1.101,35.1,64.4,64.4,35.1,29.3,travel_path:turning
0.5,2,adjusting,0.233,travel,1,0,0,0,0.346,0,1.186,216.6,207.8,207.8,143.4,8.8,travel_path:adjusting
0.5,3,turning,0.433,travel,1,0,0,0,1.021,0,1.526,85.5,117.0,117.0,85.5,31.5,travel_path:turning
0.5,5,turning,0.433,travel,1,0,0,0,0.671,0,1.564,270.0,329.0,329.0,90.0,59.0,travel_path:turning
0.5,6,turning,0.433,travel,1,0,0,0,1.049,0,2.084,298.9,55.9,55.9,61.1,117.0,travel_path:turning
0.5,8,turning,0.433,travel,0,0,0,0,0.509,0,0.335,80.8,0.0,349.1,80.8,91.6,travel_path:turning
0.5,9,adjusting,0.4,travel,1,0,0,0,0.403,0,0.977,42.8,80.2,80.2,42.8,37.4,travel_path:adjusting
0.5,11,turning,0.433,travel,1,0,0,0,0.471,0,0.842,297.4,330.7,330.7,62.6,33.3,travel_path:turning
0.5,12,turning,0.433,travel,1,0,0,0,0.675,0,1.785,160.9,215.8,215.8,160.9,54.9,travel_path:turning
0.5,14,adjusting,0.1,travel,0,0,0,0,0.441,0,0.213,48.3,0.0,60.5,48.3,12.2,travel_path:adjusting
0.5,15,turning,0.433,travel,1,0,0,0,0.83,0,1.843,222.3,185.4,185.4,137.7,36.9,travel_path:turning
0.5,16,adjusting,0.133,travel,0,0,0,0,0.378,0,0.163,264.6,0.0,252.4,95.4,12.2,travel_path:adjusting
0.5,18,adjusting,0.033,travel,1,0,0,0,0.073,0,0.787,202.5,219.4,219.4,157.5,16.9,travel_path:adjusting
0.5,19,turning,0.433,travel,1,0,0,0,0.749,0,1.022,78.9,104.9,104.9,78.9,26.1,travel_path:turning
0.5,20,adjusting,0.433,travel,1,0,0,0,0.437,0,2.706,39.4,100.2,100.2,39.4,60.8,travel_path:adjusting
