t,id,state,state_time,face_mode,need_move,plant,bond,solid,slot_dist,slot_locked,mag,heading_deg,want_deg,travel_deg,unit_err_deg,travel_err_deg,reason
0.0,1,forming_up,0.033,travel,1,0,0,0,0.392,0,1.8,347.9,102.5,102.5,12.1,114.6,travel_path:forming_up
0.0,9,forming_up,0.033,travel,1,0,0,0,0.456,0,2.156,4.6,33.7,33.7,4.6,29.1,travel_path:forming_up
0.0,11,forming_up,0.033,unit,0,0,0,0,0.343,0,0.36,193.8,0.0,0.0,166.2,166.2,travel_path:forming_up
0.0,18,forming_up,0.033,travel,1,0,0,0,0.143,0,1.175,198.5,289.0,289.0,161.5,90.4,travel_path:forming_up
0.0,21,forming_up,0.033,travel,1,0,0,0,0.344,0,5.193,331.9,295.7,295.7,28.1,36.2,travel_path:forming_up
0.0,22,forming_up,0.033,travel,1,0,0,0,0.446,0,1.059,1.4,200.8,200.8,1.4,160.7,travel_path:forming_up
0.0,23,forming_up,0.033,travel,1,0,0,0,0.172,0,1.202,184.5,125.3,125.3,175.5,59.2,travel_path:forming_up
0.0,25,forming_up,0.033,travel,1,0,0,0,0.226,0,1.286,247.4,256.9,256.9,112.6,9.4,travel_path:forming_up
0.0,29,forming_up,0.033,travel,1,0,0,0,0.375,0,1.126,11.2,297.9,297.9,11.2,73.2,travel_path:forming_up
0.0,35,forming_up,0.033,travel,1,0,0,0,0.23,0,3.415,298.5,266.7,266.7,61.5,31.7,travel_path:forming_up
0.0,36,forming_up,0.033,travel,1,0,0,0,0.207,0,1.244,34.4,290.2,290.2,34.4,104.2,travel_path:forming_up
0.5,0,turning,0.333,travel,1,0,0,0,0.688,0,0.881,165.7,208.0,208.0,165.7,42.2,travel_path:turning
0.5,1,adjusting,0.167,travel,1,0,0,0,0.43,0,1.803,19.8,55.3,55.3,19.8,35.5,travel_path:adjusting
0.5,2,adjusting,0.233,travel,1,0,0,0,0.414,0,1.642,268.2,193.1,193.1,91.8,75.0,travel_path:adjusting
0.5,3,turning,0.433,travel,1,0,0,0,1.021,0,1.212,85.5,134.4,134.4,85.5,48.9,travel_path:turning
0.5,5,turning,0.433,travel,1,0,0,0,0.671,0,0.969,270.0,354.5,354.5,90.0,84.5,travel_path:turning
0.5,6,turning,0.433,travel,1,0,0,0,1.049,0,3.643,228.6,73.1,73.1,131.4,155.5,travel_path:turning
0.5,8,turning,0.433,travel,0,0,0,0,0.509,0,0.303,80.8,0.0,302.1,80.8,138.6,travel_path:turning
0.5,9,turning,0.4,travel,1,0,0,0,0.431,0,1.725,33.3,82.0,82.0,33.3,48.6,travel_path:turning
0.5,11,turning,0.433,travel,1,0,0,0,0.457,0,1.008,158.7,270.1,270.1,158.7,111.4,travel_path:turning
0.5,12,turning,0.433,travel,1,0,0,0,0.548,0,1.486,301.5,195.7,195.7,58.5,105.9,travel_path:turning
0.5,13,turning,0.267,travel,1,0,0,0,0.74,0,1.543,154.0,287.4,287.4,154.0,133.4,travel_path:turning
0.5,14,turning,0.1,travel,1,0,0,0,0.446,0,0.972,66.3,227.0,227.0,66.3,160.7,travel_path:turning
0.5,15,turning,0.433,travel,1,0,0,0,0.847,0,2.071,276.6,195.4,195.4,83.4,81.3,travel_path:turning
0.5,16,turning,0.133,travel,1,0,0,0,0.394,0,0.69,290.5,53.8,53.8,69.5,123.4,travel_path:turning
0.5,17,turning,0.067,travel,1,0,0,0,0.546,0,1.987,150.9,183.0,183.0,150.9,32.1,travel_path:turning
0.5,18,turning,0.067,travel,1,0,0,0,0.047,0,1.414,203.5,234.8,234.8,156.5,31.4,travel_path:turning
0.5,19,turning,0.433,travel,1,0,0,0,0.749,0,1.074,22.6,77.6,77.6,22.6,55.0,travel_path:turning
0.5,20,turning,0.433,travel,1,0,0,0,0.411,0,5.331,40.0,97.0,97.0,40.0,57.0,travel_path:turning
0.5,21,adjusting,0.067,travel,1,0,0,0,0.215,0,1.055,345.9,330.0,330.0,14.1,15.9,travel_path:adjusting
0.5,22,turning,0.433,travel,1,0,0,0,0.575,0,1.178,20.7,289.0,289.0,20.7,91.7,travel_path:turning
0.5,23,adjusting,0.1,travel,1,0,0,0,0.244,0,1.165,194.3,150.3,150.3,165.7,44.0,travel_path:adjusting
0.5,25,adjusting,0.433,travel,1,0,0,0,0.37,0,2.299,184.3,340.3,340.3,175.7,156.0,travel_path:adjusting
0.5,27,turning,0.2,travel,1,0,0,0,0.451,0,2.219,212.9,247.3,247.3,147.1,34.4,travel_path:turning
0.5,28,turning,0.433,travel,1,0,0,0,0.826,0,1.146,137.7,178.4,178.4,137.7,40.7,travel_path:turning
0.5,29,turning,0.133,travel,1,0,0,0,0.145,0,1.26,347.2,251.8,251.8,12.8,95.4,travel_path:turning
0.5,30,turning,0.433,travel,1,0,0,0,1.164,0,2.571,352.4,317.4,317.4,7.6,35.0,travel_path:turning
0.5,31,turning,0.433,travel,0,0,0,0,0.87,0,0.256,196.3,0.0,284.2,163.7,88.0,travel_path:turning
0.5,32,turning,0.233,travel,1,0,0,0,0.528,0,1.727,38.0,200.6,200.6,38.0,162.6,travel_path:turning
0.5,34,turning,0.433,travel,1,0,0,0,0.387,0,4.315,27.1,71.2,71.2,27.1,44.1,travel_path:turning
0.5,35,turning,0.333,travel,1,0,0,0,0.261,0,1.448,355.5,126.9,126.9,4.5,131.4,travel_path:turning
0.5,36,turning,0.433,travel,1,0,0,0,0.337,0,1.171,85.4,230.1,230.1,85.4,144.7,travel_path:turning
0.5,37,turning,0.433,travel,1,0,0,0,0.8,0,2.116,277.6,345.0,345.0,82.4,67.3,travel_path:turning
0.5,38,adjusting,0.267,travel,1,0,0,0,0.337,0,2.669,90.5,137.0,137.0,90.5,46.5,travel_path:adjusting
0.5,39,turning,0.033,travel,1,0,0,0,0.644,0,0.99,195.8,217.7,217.7,164.2,21.8,travel_path:turning
1.0,1,adjusting,0.667,travel,0,0,0,0,0.34,0,0.343,99.2,0.0,190.4,99.2,91.2,travel_path:adjusting
1.0,2,adjusting,0.733,travel,1,0,0,0,0.399,0,1.194,293.5,60.2,60.2,66.5,126.7,travel_path:adjusting
1.0,4,turning,0.4,travel,1,0,0,0,0.595,0,5.388,312.2,279.9,279.9,47.8,32.3,travel_path:turning
1.0,5,turning,0.033,travel,1,0,0,0,0.531,0,2.488,311.5,2.6,2.6,48.5,51.1,travel_path:turning
1.0,6,turning,0.933,travel,1,0,0,0,1.055,0,0.785,305.9,68.4,68.4,54.1,122.5,travel_path:turning
1.0,8,turning,0.333,travel,1,0,0,0,0.424,0,2.087,27.9,329.1,329.1,27.9,58.7,travel_path:turning
1.0,9,adjusting,0.167,travel,1,0,0,0,0.399,0,1.77,22.6,124.3,124.3,22.6,101.7,travel_path:adjusting
1.0,11,turning,0.933,travel,1,0,0,0,0.469,0,3.252,67.3,49.2,49.2,67.3,18.1,travel_path:turning
1.0,12,turning,0.233,travel,1,0,0,0,0.425,0,2.078,219.0,205.0,205.0,141.0,14.0,travel_path:turning
1.0,13,turning,0.067,travel,1,0,0,0,0.567,0,2.149,126.5,102.6,102.6,126.5,23.9,travel_path:turning
