t,n_turn,n_hold,n_on_post,n_plant,n_travel_turn,n_unit_turn
0.0,4,1,11,5,0,4
0.033,5,1,11,6,0,5
0.067,5,2,12,7,0,5
0.1,27,2,12,7,22,5
0.133,26,3,13,8,21,5
0.167,26,4,15,9,21,5
0.2,28,4,15,9,23,5
0.233,27,4,15,9,22,5
0.267,27,5,15,10,22,5
0.3,26,5,15,10,21,5
0.333,26,4,16,10,20,6
0.367,25,5,16,11,19,6
0.4,24,5,16,10,19,5
0.433,22,5,16,11,16,6
0.467,21,5,17,12,14,7
0.5,19,6,18,12,13,6
0.533,17,7,18,12,12,5
0.567,15,7,18,12,10,5
0.6,14,7,19,13,8,6
0.633,13,7,19,13,7,6
0.667,15,7,19,15,7,8
0.7,15,8,19,15,8,7
0.733,13,9,19,16,6,7
0.767,11,11,19,17,5,6
0.8,12,13,20,20,5,7
0.833,11,14,21,21,4,7
0.867,12,14,21,21,5,7
0.9,13,14,23,23,4,9
0.933,12,14,24,23,3,9
0.967,11,15,24,23,3,8
1.0,12,14,24,21,5,7
1.033,12,14,24,21,5,7
1.067,12,15,26,21,6,6
1.1,8,15,26,21,2,6
1.133,9,15,27,22,2,7
1.167,11,15,28,24,2,9
1.2,12,15,28,22,5,7
1.233,13,15,29,23,5,8
1.267,12,16,29,23,5,7
1.3,13,16,31,24,5,8
1.333,11,19,32,27,2,9
1.367,10,20,32,26,4,6
1.4,11,20,33,29,2,9
1.433,9,22,34,30,1,8
1.467,8,23,35,30,1,7
1.5,6,25,36,30,1,5
1.533,6,25,37,30,1,5
1.567,6,25,37,30,1,5
1.6,10,24,37,31,3,7
1.633,12,22,37,29,5,7
1.667,13,24,37,34,3,10
1.7,12,25,37,34,3,9
1.733,12,25,37,35,2,10
1.767,11,26,37,36,1,10
1.8,9,28,37,36,1,8
1.833,13,25,37,33,5,8
1.867,13,25,37,33,5,8
1.9,12,25,38,33,4,8
1.933,12,25,38,33,4,8
1.967,12,25,38,33,4,8
2.0,13,25,38,37,1,12
2.033,11,27,38,37,1,10
2.067,10,28,38,37,1,9
2.1,10,28,38,37,1,9
2.133,6,32,39,37,1,5
2.167,6,32,39,37,1,5
2.2,6,33,39,39,0,6
2.233,9,30,39,35,4,5
2.267,10,30,40,36,4,6
2.3,9,31,40,36,4,5
2.333,9,31,40,38,2,7
2.367,8,32,40,38,2,6
2.4,6,34,40,38,2,4
2.433,8,32,40,36,4,4
2.467,7,33,40,36,4,3
2.5,7,33,40,37,3,4
2.533,7,33,40,37,3,4
2.567,5,35,40,37,3,2
2.6,5,35,40,38,2,3
2.633,5,35,40,38,2,3
2.667,5,35,40,40,0,5
2.7,7,33,40,38,2,5
2.733,4,36,40,38,2,2
2.767,4,36,40,37,3,1
2.8,4,36,40,38,2,2
2.833,6,34,40,36,4,2
2.867,5,35,40,36,4,1
2.9,5,35,40,36,4,1
2.933,5,35,40,37,3,2
2.967,4,36,40,37,3,1
3.0,3,37,40,40,0,3
3.033,5,35,40,38,2,3
3.067,5,35,40,37,3,2
3.1,5,35,40,37,3,2
3.133,3,37,40,37,3,0
3.167,4,36,40,36,4,0
3.2,3,37,40,38,2,1
3.233,3,37,40,38,2,1
3.267,3,37,40,38,2,1
3.3,3,37,40,38,2,1
3.333,0,40,40,40,0,0
3.367,2,38,40,38,2,0
3.4,2,38,40,38,2,0
3.433,2,38,40,38,2,0
3.467,2,38,40,38,2,0
3.5,2,38,40,38,2,0
3.533,2,38,40,38,2,0
3.567,2,38,40,38,2,0
3.6,3,37,40,37,3,0
3.633,4,36,40,36,4,0
3.667,2,37,40,39,0,2
3.7,4,35,40,36,3,1
3.733,4,35,40,36,3,1
3.767,3,36,40,36,3,0
3.8,3,36,40,38,1,2
3.833,4,36,40,38,2,2
3.867,2,38,40,38,2,0
3.9,2,38,40,38,2,0
3.933,2,38,40,38,2,0
3.967,2,38,40,38,2,0
4.0,2,38,40,40,0,2
4.033,2,38,40,40,0,2
4.067,1,39,40,40,0,1
4.1,1,39,40,40,0,1
4.133,0,40,40,40,0,0
4.167,0,40,40,40,0,0
4.2,0,40,40,40,0,0
4.233,2,38,40,38,2,0
4.267,2,38,40,38,2,0
4.3,2,38,40,38,2,0
4.333,2,38,40,39,1,1
4.367,5,35,40,37,3,2
4.4,3,37,40,38,2,1
4.433,4,36,40,37,3,1
4.467,4,36,40,36,4,0
4.5,4,36,40,36,4,0
4.533,4,36,40,36,4,0
4.567,4,36,40,36,4,0
4.6,5,35,40,36,4,1
4.633,6,34,40,35,5,1
4.667,5,35,40,40,0,5
4.7,4,36,40,39,1,3
4.733,1,39,40,39,1,0
4.767,2,38,40,38,2,0
4.8,2,38,40,38,2,0
4.833,3,37,40,37,3,0
4.867,3,37,40,37,3,0
4.9,3,37,40,37,3,0
4.933,3,37,40,37,3,0
4.967,3,37,40,37,3,0
5.0,3,37,40,39,1,2
5.033,5,35,40,37,3,2
5.067,4,36,40,37,3,1
5.1,4,36,40,38,2,2
5.133,4,36,40,37,3,1
5.167,4,36,40,37,3,1
5.2,4,36,40,38,2,2
5.233,5,35,40,36,4,1
5.267,5,35,40,36,4,1
5.3,5,35,40,36,4,1
5.333,3,37,40,40,0,3
5.367,4,36,40,39,1,3
5.4,1,39,40,40,0,1
5.433,3,37,40,38,2,1
5.467,3,37,40,38,2,1
5.5,3,37,40,38,2,1
5.533,3,37,40,38,2,1
5.567,3,37,40,38,2,1
5.6,2,38,40,40,0,2
5.633,3,37,40,38,2,1
5.667,2,38,40,40,0,2
5.7,4,36,40,38,2,2
5.733,2,38,40,38,2,0
5.767,2,38,40,38,2,0
5.8,2,38,40,40,0,2
5.833,4,36,40,37,3,1
5.867,3,37,40,37,3,0
5.9,3,37,40,37,3,0
5.933,3,37,40,37,3,0
5.967,3,37,40,37,3,0
6.0,2,37,40,39,0,2
6.033,4,35,40,36,3,1
6.067,4,35,40,36,3,1
6.1,4,35,40,36,3,1
6.133,4,36,40,36,4,0
6.167,4,36,40,36,4,0
6.2,5,35,40,37,3,2
6.233,4,36,40,37,3,1
6.267,4,36,40,37,3,1
6.3,4,36,40,37,3,1
6.333,2,38,40,39,1,1
6.367,5,35,40,37,3,2
6.4,4,36,40,38,2,2
6.433,3,37,40,38,2,1
6.467,2,38,40,39,1,1
6.5,2,38,40,39,1,1
6.533,2,38,40,39,1,1
6.567,2,38,40,39,1,1
6.6,4,36,40,37,3,1
6.633,5,35,40,36,4,1
6.667,4,36,40,40,0,4
6.7,5,35,40,37,3,2
6.733,4,36,40,37,3,1
6.767,4,36,40,37,3,1
6.8,3,37,40,39,1,2
6.833,4,36,40,38,2,2
6.867,2,38,40,38,2,0
6.9,2,38,40,38,2,0
6.933,2,38,40,38,2,0
6.967,2,38,40,38,2,0
7.0,2,38,40,39,1,1
7.033,4,36,40,37,3,1
7.067,4,36,40,37,3,1
7.1,4,36,40,37,3,1
7.133,3,37,40,37,3,0
7.167,3,37,40,37,3,0
7.2,3,37,40,37,3,0
7.233,4,36,40,37,3,1
7.267,4,36,40,37,3,1
7.3,5,35,40,36,4,1
7.333,2,38,40,40,0,2
7.367,3,37,40,39,1,2
7.4,1,39,40,40,0,1
7.433,4,36,40,37,3,1
7.467,4,36,40,37,3,1
7.5,4,36,40,37,3,1
7.533,3,37,40,37,3,0
7.567,3,37,40,37,3,0
7.6,4,36,40,36,4,0
7.633,4,36,40,36,4,0
7.667,4,36,40,40,0,4
7.7,4,36,40,38,2,2
7.733,3,37,40,37,3,0
7.767,3,37,40,37,3,0
7.8,3,37,40,37,3,0
7.833,5,35,40,35,5,0
7.867,5,35,40,35,5,0
7.9,5,35,40,35,5,0
7.933,5,35,40,35,5,0
7.967,5,35,40,36,4,1
8.0,5,35,40,40,0,5
8.033,7,33,40,38,2,5
8.067,7,33,40,37,3,4
8.1,6,34,40,37,3,3
8.133,5,35,40,36,4,1
8.167,5,35,40,36,4,1
8.2,5,35,40,38,2,3
8.233,6,34,40,36,4,2
8.267,5,35,40,36,4,1
