t,n_turn,n_hold,n_on_post,n_plant,n_travel_turn,n_unit_turn
0.0,0,0,11,0,0,0
0.033,0,0,11,0,0,0
0.067,0,0,11,0,0,0
0.1,29,0,11,0,26,3
0.133,29,0,12,0,29,0
0.167,29,0,14,0,29,0
0.2,31,0,14,0,31,0
0.233,29,0,14,0,29,0
0.267,28,0,14,0,28,0
0.3,26,0,14,0,26,0
0.333,25,0,15,0,25,0
0.367,23,0,15,0,23,0
0.4,26,0,15,0,25,1
0.433,24,0,14,0,24,0
0.467,22,0,16,0,22,0
0.5,19,0,16,0,19,0
0.533,19,0,17,0,19,0
0.567,15,0,17,0,15,0
0.6,13,0,17,0,13,0
0.633,13,0,17,0,13,0
0.667,15,0,18,0,15,0
0.7,15,0,18,0,15,0
0.733,14,0,18,0,14,0
0.767,12,0,18,0,12,0
0.8,12,0,18,0,12,0
0.833,9,0,18,0,9,0
0.867,9,0,21,0,9,0
0.9,9,0,21,0,9,0
0.933,9,0,22,0,9,0
0.967,7,0,25,0,7,0
1.0,9,0,25,0,9,0
1.033,9,0,25,0,9,0
1.067,8,0,24,0,8,0
1.1,7,0,24,0,7,0
1.133,4,0,25,0,4,0
1.167,4,0,25,0,4,0
1.2,4,0,25,0,4,0
1.233,4,0,27,0,4,0
1.267,5,0,28,0,5,0
1.3,5,0,29,0,5,0
1.333,6,0,30,0,4,2
1.367,6,0,30,0,6,0
1.4,6,0,30,0,6,0
1.433,4,0,31,0,4,0
1.467,4,0,32,0,4,0
1.5,3,0,32,0,3,0
1.533,2,0,32,0,2,0
1.567,2,0,33,0,2,0
1.6,3,0,33,0,3,0
1.633,3,0,33,0,3,0
1.667,3,0,34,0,3,0
1.7,4,0,34,0,4,0
1.733,4,0,34,0,4,0
1.767,4,0,34,0,4,0
1.8,3,0,34,0,3,0
1.833,2,0,34,0,2,0
1.867,1,0,34,0,1,0
1.9,1,0,32,0,1,0
1.933,2,0,33,0,2,0
1.967,2,0,33,0,2,0
2.0,2,0,33,0,2,0
2.033,2,0,32,0,2,0
2.067,2,0,32,0,2,0
2.1,2,0,32,0,2,0
2.133,2,0,32,0,2,0
2.167,2,0,31,0,2,0
2.2,2,0,31,0,2,0
2.233,2,0,31,0,2,0
2.267,2,0,31,0,2,0
2.3,2,0,30,0,2,0
2.333,2,0,29,0,2,0
2.367,2,0,30,0,2,0
2.4,1,0,29,0,1,0
2.433,1,0,28,0,1,0
2.467,1,0,29,0,1,0
2.5,1,0,27,0,1,0
2.533,1,0,26,0,1,0
2.567,1,0,26,0,1,0
2.6,1,0,26,0,1,0
2.633,1,0,26,0,1,0
2.667,1,0,26,0,1,0
2.7,1,0,26,0,1,0
2.733,0,0,26,0,0,0
2.767,0,0,26,0,0,0
2.8,0,0,26,0,0,0
2.833,1,0,27,0,1,0
2.867,1,0,27,0,1,0
2.9,1,0,27,0,1,0
2.933,1,0,27,0,1,0
2.967,1,0,27,0,1,0
3.0,1,0,27,0,1,0
3.033,1,0,28,0,1,0
3.067,1,0,28,0,1,0
3.1,1,0,27,0,1,0
3.133,1,0,26,0,1,0
3.167,1,0,26,0,1,0
3.2,1,0,26,0,1,0
3.233,1,0,25,0,1,0
3.267,1,0,24,0,1,0
3.3,1,0,24,0,1,0
3.333,1,0,24,0,1,0
3.367,0,0,24,0,0,0
3.4,0,0,24,0,0,0
3.433,0,0,23,0,0,0
3.467,0,0,21,0,0,0
3.5,0,0,22,0,0,0
3.533,0,0,21,0,0,0
3.567,0,0,20,0,0,0
3.6,0,0,19,0,0,0
3.633,0,0,19,0,0,0
3.667,0,0,19,0,0,0
3.7,0,0,20,0,0,0
3.733,0,0,20,0,0,0
3.767,0,0,21,0,0,0
3.8,0,0,22,0,0,0
3.833,0,0,22,0,0,0
3.867,0,0,23,0,0,0
3.9,0,0,23,0,0,0
3.933,0,0,23,0,0,0
3.967,0,0,23,0,0,0
4.0,0,0,23,0,0,0
4.033,0,0,24,0,0,0
4.067,0,0,24,0,0,0
4.1,0,0,24,0,0,0
4.133,0,0,25,0,0,0
4.167,0,0,26,0,0,0
4.2,0,0,26,0,0,0
4.233,0,0,25,0,0,0
4.267,0,0,25,0,0,0
4.3,0,0,24,0,0,0
4.333,0,0,25,0,0,0
4.367,0,0,25,0,0,0
4.4,0,0,26,0,0,0
4.433,0,0,28,0,0,0
4.467,0,0,29,0,0,0
4.5,0,0,29,0,0,0
4.533,0,0,30,0,0,0
4.567,0,0,30,0,0,0
4.6,0,0,30,0,0,0
4.633,0,0,30,0,0,0
4.667,0,0,30,0,0,0
4.7,0,0,28,0,0,0
4.733,0,0,28,0,0,0
4.767,0,0,28,0,0,0
4.8,0,0,29,0,0,0
4.833,0,0,30,0,0,0
4.867,0,0,30,0,0,0
4.9,0,0,31,0,0,0
4.933,0,0,31,0,0,0
4.967,0,0,30,0,0,0
5.0,0,0,30,0,0,0
5.033,0,0,29,0,0,0
5.067,0,0,29,0,0,0
5.1,0,0,29,0,0,0
5.133,0,0,29,0,0,0
5.167,0,0,29,0,0,0
5.2,0,0,29,0,0,0
5.233,0,0,28,0,0,0
5.267,0,0,28,0,0,0
5.3,0,0,28,0,0,0
5.333,0,0,28,0,0,0
5.367,0,0,28,0,0,0
5.4,0,0,29,0,0,0
5.433,0,0,29,0,0,0
5.467,0,0,28,0,0,0
5.5,0,0,28,0,0,0
5.533,0,0,28,0,0,0
5.567,0,0,27,0,0,0
5.6,0,0,27,0,0,0
5.633,0,0,26,0,0,0
5.667,0,0,27,0,0,0
5.7,0,0,27,0,0,0
5.733,0,0,28,0,0,0
5.767,0,0,28,0,0,0
5.8,0,0,28,0,0,0
5.833,0,0,28,0,0,0
5.867,0,0,29,0,0,0
5.9,0,0,30,0,0,0
5.933,0,0,31,0,0,0
5.967,0,0,30,0,0,0
6.0,0,0,29,0,0,0
6.033,0,0,29,0,0,0
6.067,0,0,28,0,0,0
6.1,0,0,28,0,0,0
6.133,0,0,29,0,0,0
6.167,0,0,30,0,0,0
6.2,0,0,31,0,0,0
6.233,0,0,30,0,0,0
6.267,0,0,29,0,0,0
6.3,0,0,29,0,0,0
6.333,0,0,29,0,0,0
6.367,0,0,28,0,0,0
6.4,0,0,28,0,0,0
6.433,0,0,29,0,0,0
6.467,0,0,30,0,0,0
6.5,0,0,30,0,0,0
6.533,0,0,31,0,0,0
6.567,0,0,30,0,0,0
6.6,0,0,28,0,0,0
6.633,0,0,28,0,0,0
6.667,0,0,28,0,0,0
6.7,0,0,28,0,0,0
6.733,0,0,25,0,0,0
6.767,0,0,26,0,0,0
6.8,0,0,26,0,0,0
6.833,0,0,26,0,0,0
6.867,0,0,27,0,0,0
6.9,0,0,27,0,0,0
6.933,0,0,28,0,0,0
6.967,0,0,28,0,0,0
7.0,0,0,28,0,0,0
7.033,0,0,28,0,0,0
7.067,0,0,28,0,0,0
7.1,0,0,28,0,0,0
7.133,0,0,30,0,0,0
7.167,0,0,30,0,0,0
7.2,0,0,29,0,0,0
7.233,0,0,29,0,0,0
7.267,0,0,30,0,0,0
7.3,0,0,30,0,0,0
7.333,0,0,30,0,0,0
7.367,0,0,31,0,0,0
7.4,0,0,32,0,0,0
7.433,0,0,32,0,0,0
7.467,0,0,31,0,0,0
7.5,0,0,31,0,0,0
7.533,0,0,32,0,0,0
7.567,0,0,32,0,0,0
7.6,0,0,31,0,0,0
7.633,0,0,31,0,0,0
7.667,0,0,31,0,0,0
7.7,0,0,31,0,0,0
7.733,0,0,30,0,0,0
7.767,0,0,30,0,0,0
7.8,0,0,30,0,0,0
7.833,0,0,29,0,0,0
7.867,0,0,30,0,0,0
7.9,0,0,28,0,0,0
7.933,0,0,29,0,0,0
7.967,0,0,30,0,0,0
8.0,0,0,29,0,0,0
8.033,0,0,30,0,0,0
8.067,0,0,30,0,0,0
8.1,0,0,30,0,0,0
8.133,0,0,31,0,0,0
8.167,0,0,31,0,0,0
8.2,0,0,30,0,0,0
8.233,0,0,30,0,0,0
8.267,0,0,30,0,0,0
8.3,0,0,31,0,0,0
8.333,0,0,31,0,0,0
8.367,0,0,30,0,0,0
8.4,0,0,29,0,0,0
8.433,0,0,29,0,0,0
8.467,0,0,29,0,0,0
8.5,0,0,28,0,0,0
8.533,0,0,28,0,0,0
8.567,0,0,29,0,0,0
8.6,0,0,29,0,0,0
8.633,0,0,28,0,0,0
8.667,0,0,28,0,0,0
8.7,0,0,29,0,0,0
8.733,0,0,29,0,0,0
8.767,0,0,29,0,0,0
8.8,0,0,29,0,0,0
8.833,0,0,30,0,0,0
8.867,0,0,30,0,0,0
8.9,0,0,31,0,0,0
8.933,0,0,32,0,0,0
8.967,0,0,31,0,0,0
9.0,0,0,30,0,0,0
9.033,0,0,30,0,0,0
9.067,0,0,29,0,0,0
9.1,0,0,30,0,0,0
9.133,0,0,30,0,0,0
9.167,0,0,30,0,0,0
9.2,0,0,30,0,0,0
9.233,0,0,30,0,0,0
9.267,0,0,29,0,0,0
9.3,0,0,29,0,0,0
9.333,0,0,29,0,0,0
9.367,0,0,29,0,0,0
9.4,0,0,29,0,0,0
9.433,0,0,29,0,0,0
9.467,0,0,29,0,0,0
9.5,0,0,29,0,0,0
9.533,0,0,28,0,0,0
9.567,0,0,29,0,0,0
9.6,0,0,30,0,0,0
9.633,0,0,29,0,0,0
9.667,0,0,29,0,0,0
9.7,0,0,30,0,0,0
9.733,0,0,30,0,0,0
9.767,0,0,32,0,0,0
9.8,0,0,33,0,0,0
9.833,0,0,32,0,0,0
9.867,0,0,34,0,0,0
9.9,0,0,35,0,0,0
9.933,0,0,34,0,0,0
9.967,0,0,33,0,0,0
10.0,0,0,33,0,0,0
10.033,0,0,34,0,0,0
10.067,0,0,34,0,0,0
10.1,0,0,34,0,0,0
10.133,0,0,34,0,0,0
10.167,0,0,34,0,0,0
10.2,0,0,34,0,0,0
10.233,0,0,32,0,0,0
10.267,0,0,33,0,0,0
10.3,0,0,33,0,0,0
10.333,0,0,32,0,0,0
10.367,0,0,32,0,0,0
10.4,0,0,32,0,0,0
10.433,0,0,31,0,0,0
10.467,0,0,32,0,0,0
10.5,0,0,32,0,0,0
10.533,0,0,32,0,0,0
10.567,0,0,32,0,0,0
10.6,0,0,33,0,0,0
10.633,0,0,32,0,0,0
