t,n_turn,n_hold,n_on_post,n_plant,n_travel_turn,n_unit_turn
0.0,0,0,11,0,0,0
0.033,0,0,11,0,0,0
0.067,0,0,11,0,0,0
0.1,31,0,11,0,30,1
0.133,32,0,12,0,32,0
0.167,33,0,14,0,33,0
0.2,33,0,14,0,33,0
0.233,31,0,14,0,31,0
0.267,31,0,14,0,31,0
0.3,31,0,14,0,31,0
0.333,29,0,15,0,29,0
0.367,26,0,15,0,26,0
0.4,27,0,15,0,27,0
0.433,27,0,15,0,26,1
0.467,27,0,17,0,27,0
0.5,28,0,17,0,28,0
0.533,28,0,17,0,28,0
0.567,24,0,17,0,24,0
0.6,22,0,17,0,22,0
0.633,22,0,17,0,22,0
0.667,21,0,17,0,21,0
0.7,22,0,17,0,22,0
0.733,22,0,16,0,22,0
0.767,20,0,16,0,20,0
0.8,20,0,16,0,20,0
0.833,17,0,16,0,17,0
0.867,13,0,17,0,13,0
0.9,14,0,17,0,14,0
0.933,15,0,18,0,15,0
0.967,15,0,18,0,15,0
1.0,17,0,18,0,17,0
1.033,15,0,19,0,15,0
1.067,13,0,20,0,13,0
1.1,10,0,20,0,10,0
1.133,10,0,20,0,10,0
1.167,12,0,19,0,12,0
1.2,13,0,21,0,13,0
1.233,12,0,22,0,12,0
1.267,13,0,22,0,13,0
1.3,13,0,22,0,13,0
1.333,13,0,22,0,13,0
1.367,12,0,22,0,12,0
1.4,10,0,22,0,10,0
1.433,10,0,24,0,10,0
1.467,10,0,24,0,10,0
1.5,10,0,25,0,10,0
1.533,10,0,24,0,10,0
1.567,10,0,26,0,10,0
1.6,7,0,27,0,7,0
1.633,8,0,26,0,8,0
1.667,7,0,26,0,7,0
1.7,7,0,26,0,6,1
1.733,6,0,27,0,6,0
1.767,7,0,27,0,7,0
1.8,6,0,26,0,6,0
1.833,7,0,27,0,7,0
1.867,7,0,27,0,7,0
1.9,8,0,27,0,8,0
1.933,8,0,27,0,8,0
1.967,8,0,26,0,8,0
2.0,10,0,26,0,10,0
2.033,10,0,26,0,10,0
2.067,7,0,26,0,7,0
2.1,5,0,25,0,5,0
2.133,5,0,26,0,5,0
2.167,6,0,26,0,6,0
2.2,8,0,26,0,8,0
2.233,8,0,26,0,8,0
2.267,8,0,25,0,8,0
2.3,7,0,25,0,7,0
2.333,5,0,25,0,5,0
2.367,4,0,25,0,4,0
2.4,4,0,26,0,4,0
2.433,5,0,26,0,5,0
2.467,5,0,27,0,5,0
2.5,5,0,27,0,5,0
2.533,5,0,25,0,5,0
2.567,5,0,26,0,5,0
2.6,7,0,26,0,7,0
2.633,7,0,25,0,7,0
2.667,7,0,27,0,7,0
2.7,7,0,27,0,7,0
2.733,7,0,26,0,7,0
2.767,7,0,26,0,7,0
2.8,6,0,26,0,6,0
2.833,5,0,27,0,5,0
2.867,4,0,27,0,4,0
2.9,3,0,26,0,3,0
2.933,4,0,27,0,4,0
2.967,5,0,26,0,5,0
3.0,6,0,26,0,6,0
3.033,6,0,26,0,6,0
3.067,7,0,26,0,7,0
3.1,7,0,26,0,7,0
3.133,6,0,25,0,6,0
3.167,6,0,24,0,6,0
3.2,6,0,24,0,6,0
3.233,6,0,24,0,6,0
3.267,7,0,24,1,6,1
3.3,8,0,23,2,6,2
3.333,9,0,23,4,5,4
3.367,10,0,22,5,5,5
3.4,12,0,21,7,5,7
3.433,12,0,21,6,6,6
3.467,12,0,19,5,7,5
3.5,12,0,18,4,8,4
3.533,12,0,18,2,10,2
3.567,10,1,17,2,9,1
3.6,10,1,17,2,9,1
3.633,11,1,18,2,10,1
3.667,10,1,19,4,7,3
3.7,10,1,20,5,6,4
3.733,13,0,19,7,6,7
3.767,15,1,19,6,10,5
3.8,15,2,19,7,10,5
3.833,14,2,20,5,10,4
3.867,14,2,20,5,10,4
3.9,16,0,20,3,13,3
3.933,18,0,20,3,15,3
3.967,18,0,20,6,12,6
4.0,18,0,19,3,15,3
4.033,16,1,19,3,14,2
4.067,14,1,20,1,13,1
4.1,13,1,21,3,10,3
4.133,14,0,22,3,11,3
4.167,14,0,22,3,11,3
4.2,13,1,22,3,11,2
4.233,12,1,22,2,11,1
4.267,14,1,22,2,12,2
4.3,16,0,22,3,13,3
4.333,19,0,23,6,13,6
4.367,17,0,23,5,12,5
4.4,15,2,23,7,10,5
4.433,15,2,23,8,9,6
4.467,12,4,23,5,9,3
4.5,15,2,23,5,12,3
4.533,15,2,23,4,12,3
4.567,18,1,23,5,14,4
4.6,18,1,23,5,14,4
4.633,18,1,25,6,13,5
4.667,17,0,25,3,14,3
4.7,17,0,26,3,14,3
4.733,17,1,27,6,12,5
4.767,19,1,27,7,13,6
4.8,18,1,27,5,14,4
4.833,16,2,26,7,11,5
4.867,14,2,26,5,11,3
4.9,13,3,26,6,9,4
4.933,15,3,27,6,11,4
4.967,17,2,27,4,15,2
5.0,18,1,27,4,15,3
5.033,18,1,29,5,14,4
5.067,17,2,29,7,12,5
5.1,19,2,29,8,13,6
5.133,19,2,29,8,13,6
5.167,16,3,29,8,11,5
5.2,16,5,29,10,10,6
5.233,18,3,29,7,12,6
5.267,20,2,29,8,13,7
5.3,20,1,28,7,14,6
5.333,21,0,30,4,17,4
5.367,20,1,30,8,13,7
5.4,20,1,30,8,13,7
5.433,20,1,30,9,12,8
5.467,21,1,31,11,11,10
5.5,22,1,32,8,15,7
5.533,20,4,32,10,14,6
5.567,21,4,32,8,17,4
5.6,21,4,33,8,17,4
5.633,22,2,33,6,18,4
5.667,20,4,32,8,16,4
5.7,21,3,32,9,15,6
5.733,20,4,32,10,14,6
5.767,22,2,32,8,16,6
5.8,21,2,32,6,17,4
5.833,21,1,32,5,16,5
5.867,18,3,32,7,13,5
5.9,19,2,32,5,15,4
5.933,19,2,31,7,13,6
5.967,23,0,31,7,16,7
6.0,25,1,32,7,19,6
6.033,26,1,33,8,19,7
6.067,25,1,33,9,16,9
6.1,25,0,34,7,18,7
6.133,25,1,33,7,19,6
6.167,23,1,33,5,19,4
6.2,23,1,32,6,18,5
6.233,24,0,32,6,18,6
6.267,23,0,32,5,18,5
6.3,23,0,32,6,17,6
6.333,21,2,33,6,17,4
6.367,22,3,33,8,17,5
6.4,23,4,32,10,17,6
6.433,24,4,32,11,17,7
6.467,24,3,32,9,18,6
6.5,24,2,32,7,19,5
6.533,23,1,32,7,17,6
6.567,23,2,32,6,19,4
6.6,24,3,32,9,18,6
6.633,24,4,32,8,20,4
6.667,26,2,32,6,22,4
6.7,26,2,32,6,22,4
6.733,23,3,32,6,20,3
6.767,25,1,32,5,20,5
6.8,25,1,32,6,19,6
6.833,26,1,32,8,19,7
6.867,26,2,32,7,21,5
6.9,26,2,32,8,20,6
6.933,24,3,32,4,22,2
6.967,23,2,32,3,21,2
7.0,23,2,32,4,20,3
7.033,22,3,32,5,20,2
7.067,24,2,32,8,18,6
7.1,19,6,31,9,15,4
7.133,18,6,31,9,15,3
7.167,18,6,32,8,15,3
7.2,22,4,32,7,18,4
7.233,24,2,32,6,20,4
7.267,24,1,32,4,21,3
7.3,25,1,32,9,16,9
7.333,24,0,32,7,17,7
7.367,25,0,32,7,18,7
7.4,24,1,31,8,17,7
7.433,23,2,30,9,16,7
7.467,22,2,31,5,17,5
7.5,25,2,31,6,20,5
7.533,27,1,30,7,21,6
7.567,29,1,31,10,20,9
7.6,30,0,31,8,22,8
7.633,26,2,31,6,22,4
7.667,24,2,30,5,20,4
7.7,21,2,30,6,16,5
7.733,22,0,29,6,16,6
7.767,25,0,29,7,18,7
7.8,28,0,29,10,18,10
7.833,28,1,29,9,20,8
7.867,25,2,29,6,21,4
7.9,24,3,29,5,21,3
7.933,22,3,29,4,20,2
7.967,22,3,29,5,20,2
8.0,24,3,29,9,18,6
8.033,24,3,29,11,16,8
8.067,25,2,30,13,14,11
8.1,24,2,31,9,17,7
8.133,23,2,31,9,16,7
8.167,24,2,31,7,18,6
8.2,25,1,31,6,20,5
8.233,25,2,31,9,18,7
8.267,25,2,31,12,15,10
8.3,27,2,30,8,21,6
8.333,26,1,30,7,19,7
8.367,22,4,30,6,19,3
8.4,22,3,29,6,18,4
8.433,21,3,29,5,16,5
8.467,27,0,29,9,18,9
8.5,28,1,27,10,19,9
8.533,27,1,27,10,18,9
8.567,27,1,27,8,19,8
8.6,27,0,27,4,23,4
8.633,28,0,26,4,24,4
8.667,26,2,26,6,22,4
8.7,26,2,26,11,17,9
8.733,25,3,26,11,16,9
8.767,26,2,27,10,18,8
8.8,25,3,27,6,21,4
8.833,25,3,27,7,20,5
8.867,24,3,27,6,21,3
8.9,25,3,27,9,19,6
8.933,24,4,27,9,18,6
8.967,25,3,26,10,18,7
9.0,25,2,26,6,20,5
9.033,25,1,26,5,21,4
9.067,22,2,27,4,20,2
9.1,23,2,27,6,18,5
9.133,23,2,28,7,17,6
9.167,26,2,28,10,18,8
9.2,26,3,28,8,20,6
9.233,27,3,27,8,21,6
9.267,24,2,27,7,19,5
9.3,25,1,27,5,20,5
9.333,23,1,28,6,18,5
9.367,23,3,28,8,18,5
9.4,25,3,28,12,16,9
9.433,25,4,28,11,18,7
9.467,25,5,28,10,20,5
9.5,25,4,27,8,21,4
9.533,24,4,25,5,22,2
9.567,26,1,25,3,23,3
9.6,24,2,25,5,20,4
9.633,25,2,26,8,19,6
9.667,25,2,26,6,20,5
9.7,26,1,26,6,21,5
9.733,24,1,26,7,18,6
9.767,21,2,26,5,18,3
9.8,24,1,27,4,21,3
9.833,26,1,27,5,22,4
9.867,26,1,27,8,19,7
9.9,27,0,27,6,21,6
9.933,26,0,28,5,21,5
9.967,26,0,28,6,20,6
10.0,24,0,27,6,18,6
10.033,23,1,27,10,14,9
10.067,23,2,27,10,15,8
10.1,25,2,27,14,13,12
10.133,25,2,27,11,16,9
10.167,24,3,26,9,18,6
10.2,25,3,26,6,21,4
10.233,22,3,26,5,19,3
10.267,23,2,26,5,20,3
10.3,23,2,26,7,18,5
10.333,23,2,26,7,17,6
10.367,23,2,26,8,17,6
10.4,26,1,25,7,20,6
10.433,26,1,25,6,21,5
10.467,27,0,25,6,21,6
10.5,26,0,23,4,22,4
10.533,27,0,23,8,19,8
10.567,26,0,24,9,17,9
10.6,28,1,24,11,18,10
10.633,28,1,23,10,19,9
